Name: train_vector_field,, 
Batch Size: 32,, 
Learning Rate: 0.0005,, 
Num Epochs: 500,, 
LR scheduler: True,, 
N Sensors: 150,, 
N Masks: 20,, 
N Examples: [500, 100, 100],, 
Size: 96,, 
Seed: 1,, 
Device: cuda,, 
epoch,train_error,val_error 
179, 0.11557924, 0.27166891 
180, 0.11905606, 0.31651036 
181, 0.14118799, 0.31891681 
182, 0.15307160, 0.42489137 
183, 0.16652166, 0.27959568 
184, 0.09700274, 0.27652549 
185, 0.10145886, 0.34264682 
186, 0.15035529, 0.38620165 
187, 0.32872450, 0.58206554 
188, 0.17917996, 0.31742032 
189, 0.10380668, 0.25280172 
190, 0.11894200, 0.34146423 
191, 0.18257380, 0.33525896 
192, 0.09511065, 0.25596518 
193, 0.09445312, 0.26422559 
194, 0.26291442, 0.27440787 
195, 0.09974496, 0.29173983 
196, 0.09931444, 0.28534443 
197, 0.11928867, 0.27353060 
198, 0.19751826, 0.28592611 
199, 0.09727611, 0.30809836 
200, 0.11188249, 0.28632673 
201, 0.11472806, 0.42123237 
202, 0.15297562, 0.24241159 
203, 0.08287648, 0.23349428 
204, 0.13271185, 0.24431309 
205, 0.09355203, 0.30464190 
206, 0.10164478, 0.31675528 
207, 0.10056880, 0.35271693 
208, 0.15264709, 0.24096632 
209, 0.13554938, 0.37613812 
210, 0.15740645, 0.34745082 
211, 0.16717780, 0.27604239 
212, 0.08534653, 0.29052663 
213, 0.09926540, 0.25290166 
214, 0.12227405, 0.41316708 
215, 0.11109245, 0.28689079 
216, 0.11847637, 0.28163530 
217, 0.11338777, 0.33528574 
218, 0.13710194, 0.26576815 
219, 0.09267240, 0.26722463 
220, 0.12029824, 0.32269228 
221, 0.08805664, 0.33263059 
222, 0.10129760, 0.31699752 
223, 0.09931506, 0.29648049 
224, 0.18121370, 0.28047321 
225, 0.14112366, 0.31393645 
226, 0.09232737, 0.25382193 
227, 0.08756796, 0.25610836 
228, 0.07773564, 0.24314985 
229, 0.09238458, 0.41000649 
230, 0.09711814, 0.25218845 
231, 0.09438035, 0.29825530 
232, 0.09314209, 0.30581599 
233, 0.09535044, 0.25702283 
234, 0.08711994, 0.25360479 
235, 0.10145463, 0.25487451 
236, 0.08549856, 0.31006848 
237, 0.14035134, 0.28088904 
238, 0.09325726, 0.29826362 
239, 0.09298999, 0.28610547 
240, 0.10593920, 0.29591663 
241, 0.09751698, 0.26781470 
242, 0.11609722, 0.27037694 
243, 0.08095655, 0.27586783 
244, 0.10119522, 0.26894034 
245, 0.10385413, 0.29480734 
246, 0.09692284, 0.25545304 
247, 0.07392366, 0.25860665 
248, 0.07629102, 0.25275565 
249, 0.07180438, 0.26310732 
250, 0.07196767, 0.26423386 
251, 0.08971324, 0.25914817 
252, 0.07487893, 0.24998699 
253, 0.09070169, 0.28370812 
254, 0.08924570, 0.26071098 
255, 0.07250894, 0.24748650 
256, 0.08245549, 0.24819069 
257, 0.07511073, 0.25844561 
258, 0.10057906, 0.28922735 
259, 0.07544979, 0.23267692 
260, 0.07197158, 0.26739703 
261, 0.09585995, 0.28135651 
262, 0.08359100, 0.23936631 
